,Unnamed: 0,similarity,sentence1,sentence2,label
151,151,entailment,A group of people are riding on a tour bus and viewing something interesting out the window.,People are looking out the window.,1
152,152,neutral,Spectators watch a snowboarder in mid-flight amid a snowy landscape.,Spectators watch a snowboarder in mid-flight amid a snowy landscape do crazy tricks.,2
153,153,contradiction,A brown dog is playing with a white fluffy stuffed animal.,A cat is napping.,0
154,154,entailment,Two older men wearing white kneading bread on a flour covered table.,Two men are baking.,1
155,155,contradiction,A woman sitting in a chair attached to a long wooden arm with a crowd gathered around her.,The woman is standing on stage.,0
156,156,entailment,A couple shares a kiss on the sidewalk in front of a large building.,A couple kissing outside a large building.,1
157,157,entailment,A young Caucasian boy climbs through a metal structure of stationary rings outside in a paved area overlooking a body of water.,A boy climbs through a structure of rings overlooking water.,1
158,158,neutral,A young woman packs belongings into a black suitcase.,A young woman distributes belongings into a black box.,2
159,159,entailment,Two young children are playing with a bubble-maker.,The children are playing with bubbles.,1
160,160,neutral,Women play volleyball while two referees manage the game.,The women are hitting the volleyball across the net,2
161,161,neutral,A man and a woman are walking on a street at the top of a hill.,A married couple walks atop a hill.,2
162,162,contradiction,A bartender wearing a hat is pouring a drink.,The man is drinking a cocktail,0
163,163,contradiction,Three speed skaters racing down the ice rink.,The three speed skaters were watching tc,0
164,164,neutral,"Man sitting on a bench in a wooded park, watching people walk past.","Man sitting on a bench in a wooded park, watching people walk past while eating his lunch.",2
165,165,neutral,This is a view of time square in New York.,Several ads for plays are visible.,2
166,166,entailment,A brown dog playing in the sand.,A dog is playing in the sand.,1
167,167,contradiction,A male and a female dancing on a stage.,couple sleeping,0
168,168,entailment,An individual playing a tuba.,a person is playing the tuba,1
169,169,entailment,One person is jumping on skis while others look on.,A person jumps on skis as a crowd watches.,1
170,170,neutral,"A man with a green backpack is walking through the rain behind two men, one of whom has an umbrella.",Three coworkers are walking through the rain on their way to have lunch.,2
171,171,contradiction,A man stands in front of a building wearing a hat and suit.,A woman is wearing a bathing suit.,0
172,172,neutral,Two children are building something on the floor.,Two children are boys.,2
173,173,contradiction,A man in a white hoodie relaxes in a chair by a fountain.,a turtle is eating a leaf,0
174,174,contradiction,The two man are fixing something.,Two men are arguing over a car accident they just had.,0
175,175,contradiction,The woman is dressed in all white swinging a tennis racket.,A man is falling down stairs.,0
176,176,neutral,"Two young people are standing in the doorway of a room filled with pink, white, and red balloons.",The people are at a surprise party.,2
177,177,contradiction,Dark-skinned male in leather jacket sleeping.,An Asian man sleeps in a leather jacket.,0
178,178,entailment,A man with metal legs posing after winning a race against other men with metal legs.,The men have metal legs.,1
179,179,entailment,A construction worker in jeans is climbing scaffolding.,a worker climbs higher,1
180,180,neutral,A young male dumps the extra water out of his small motorboat.,The man is outdoors.,2
181,181,entailment,A young girl is smiling in front of the camera at a park.,A young girl is smiling for the camera outside.,1
182,182,entailment,Two men working on a roof in yellow coats.,two guys work on the roof.,1
183,183,neutral,Man at the beach builds a face out of sand.,a man making a sand sculpture.,2
184,184,contradiction,A young child is playing with a yo-yo.,A young woman is singing.,0
185,185,contradiction,"3 children on brick street, near a lamp post, trashcan and some adults.",3 children are playing hopscotch with some adults.,0
186,186,neutral,A man with white hair walking down the sidewalk.,An elderly man walks down the sidewalk,2
187,187,neutral,a woman in a white uniform is sorting nuts behind a glass counter.,The woman in white sorts nuts for the customer.,2
188,188,contradiction,A boat worker holding a rope.,The boat is parked in a driveway.,0
189,189,entailment,A picture of a city with a sign welcoming travelers on a busy street.,A picture of a city is on a street,1
190,190,neutral,Women in colorful dresses are dancing.,THe woman is dancing,2
191,191,contradiction,A female is throwing a javelin while a cameraman records her.,Woman throws spear at guy to get it on Youtube.,0
192,192,entailment,Long-haired man napping on a park bench.,the man is taking a nap,1
193,193,contradiction,students studying at the pavilion restaurant in their campus getting ready for exams.,Students eating at the pavilion restaurant in their campus slacking on their school work.,0
194,194,contradiction,A man in a blue shirt gesticulates as he speaks to a uniformed official.,A man has a mouthfull of meatballs.,0
195,195,contradiction,A large brown dog and a large black and white dog running together,the dogs are asleep,0
196,196,contradiction,A man on a red bicycle that is dragging a wagon behind it.,a woman holding a scruffy cat,0
197,197,contradiction,A man in a red robe and sandals is walking past a small food stand.,The man is barefoot.,0
198,198,entailment,An artist is carving an intricate sculpture using a tree and an electric saw.,An artist is sculpting a tree.,1
199,199,contradiction,A woman in a denim jacket and a bearded man with a red shirt and tan jacket are walking along a street.,A woman in a dress and a bearded dog are running.,0
200,200,entailment,A group of women dressed for roller derby are standing and sitting in a group.,Roller derby team is congregating together.,1
201,201,entailment,Two police officers question a seated man in front of a subway train.,The is more than one officer.,1
202,202,neutral,"Here is six gentlemen who are in a band, all are playing different instruments.",They play instuments,2
203,203,neutral,"A rickshaw puller in an Asian country smiling and making a ""thumbs up"" sign at the photographer.",He is towing goods for a street vendor.,2
204,204,neutral,A man is skiing in midair.,A man is yelling out in midair.,2
205,205,entailment,Some people are standing alone on the beach in their swimsuits.,The beach is near empty except for a few people standing together.,1
206,206,entailment,A couple on the stairs are photographing a man and woman embracing in front of a building.,There is a photo shoot occurring.,1
207,207,entailment,Rollerblader in the air above a ramp.,Rollerblader off the ground above a ramp.,1
208,208,neutral,A girl in red standing on the sand while the girl in blue scratches her back while sitting on the sand.,the girls are at the beach,2
209,209,entailment,A little boy is running down the aisle clutching a book.,Billy was running with his book clutched next to him.,1
210,210,entailment,Several men are gathered around musical instruments and a microphone.,Men are gathered around musical instruments.,1
211,211,contradiction,A woman sits on a crate by her baskets of fruit.,A woman is standing at a market.,0
212,212,contradiction,The spots on the giraffe's face are smaller than the ones on its neck.,The giraffe does not have a neck,0
213,213,neutral,"Two boys at play at a fun center, there are two women in the background laughing.",women in the background are happily laughing,2
214,214,contradiction,An older woman with blond-hair and sunglasses leans against a railing outdoors.,The woman is dancing on the table.,0
215,215,neutral,"Four skaters are competing in a high speed skating competition, and turning on the track.",Four people are racing.,2
216,216,neutral,The women have pink bunny ears on their heads.,The women are both black.,2
217,217,entailment,There are many people with black hair heading through some doors and a few coming out.,People are going into and out of doors.,1
218,218,contradiction,A small white dog running on a pebble covered beach.,A seagull on the dock.,0
219,219,neutral,A man on a BMX bike performs a trick on a jump.,The man has a helmit on his head.,2
220,220,entailment,Four people posing for a picture,People are posing for a picture.,1
221,221,contradiction,A man in a suit is sitting at a desk and talking into a microphone.,A man is sleeping.,0
222,222,neutral,A male in a black shirt near a large curved archway.,A man is standing near an arch.,2
223,223,neutral,"At night, a kid in a white shirt rides the rails on his skateboard.",The kid rides his skateboard at night because he is shy.,2
224,224,entailment,Several women and men are lifting their arms straight up above their heads.,People raise their arms,1
225,225,entailment,A guy with a red shirt and black apron on working standing with his hand in a shopping cart.,The man is wearing clothing.,1
226,226,entailment,Asian singer performs live jazz music in a nightclub.,Asian singer performs jazz live.,1
227,227,neutral,A young boy wearing blue is standing next to a large red ball in a field.,A boy in blue is preparing to kick the red ball.,2
228,228,contradiction,"A boy in a red plaid button-up shirt playing a guitar, with another boy playing an orange bass behind him, and another person playing a drum set.",Three boys are playing basketball.,0
229,229,neutral,Two basketball players jump in the air as one is about to make a slam dunk.,The players are athletic.,2
230,230,entailment,A woman from India origin standing while making yarn.,A woman is making yarn.,1
231,231,contradiction,A young boy wearing a bathing suit and rash guard runs into the ocean as the waves bubble up on the shore.,A Surfer in a Wet Suit catches a Wave.,0
232,232,entailment,A tennis match is in progress with ball chasers on the sidelines with an audience in the background.,A tennis match is going on in front of an audience.,1
233,233,contradiction,Four road workers planting a tree.,Four Workers are laying cement.,0
234,234,entailment,Two dogs are running in a grassy field.,Two dogs are outside.,1
235,235,contradiction,A man with leg tattoos and boots using a shovel in the street.,A man is scraping his tattoos with a knife.,0
236,236,entailment,Man trying to fix a train by leaning into the equipment box.,A man is leaning into a box.,1
237,237,entailment,Two people leaf-blow a sidewalk.,these people are cleaning something,1
238,238,entailment,a basketball player in a white uniform is dribbling the basketball against a player in a black uniform.,People playing basketball.,1
239,239,entailment,"A woman wearing a gray jacket and blue shirt, and a man wearing a yellow shirt and blue pants are standing on the side of the road in a city setting, waiting for a public bus to come by and pick them up, or for the bus to pass so they can cross the road.",The man and woman are dressed in colorful attire.,1
240,240,neutral,A little white dog with long fur stands on his hind legs.,The dog likes standing on his hind legs.,2
241,241,neutral,A person getting ready to buy merchandise.,A person getting ready to buy clothes.,2
242,242,neutral,A man in a white tank top using a laptop sitting next to a tall pillar with a statue on top of it.,A man is working on his next book in a statue park.,2
243,243,entailment,A woman in a field of flowers is blowing on them.,A woman is outside.,1
244,244,contradiction,A couple are dancing while others are watching a concert in a bandstand.,A couple is eating dinner.,0
245,245,entailment,A woman in a coat walking by a women's clothing store.,a woman is walking,1
246,246,entailment,A group of people are surrounding a person who is lying down.,There are people gathered together in a group.,1
247,247,entailment,the reflection of a young couple in a train window with onlookers and a old asian man sitting on the bench.,a couple is reflected in a window.,1
248,248,neutral,A woman in black and red softball gear is running along a sanded track while two women in yellow jerseys are in the middle of throwing a ball.,A woman races around a track to avoid getting in the way of the ball.,2
249,249,entailment,Workers in yellow safety vests plant a tree in a city walkway.,An urban tree planting is taking place.,1
250,250,neutral,A boy jumping to hit a tennis ball with his racket,A child is learning how to play tennis for the first time.,2
251,251,contradiction,children sitting on rock in the desert,children sitting on a rock at the park,0
252,252,contradiction,A mother is adjusting the clothing of her child.,The woman is on the moon,0
253,253,neutral,A man using a parachute controlled device going into a sunset background on a beautiful partly cloudy day.,A man is using a parachute on vacation.,2
254,254,entailment,A group of Asians and one Anglo stand outside bundled in winter clothing.,People are standing outside.,1
255,255,neutral,A young woman wearing tan pants is touching her shoe.,Woman getting dressed for a date,2
256,256,neutral,People with braided hair are gathered around.,The group of people are talking to each other.,2
257,257,contradiction,This man is relaxed and reading a book.,A man is standing on his head.,0
258,258,neutral,This girl is singing in front of many people wearing a nice fashionable dress.,an attractive lady sings an opera to patrons at the theater,2
259,259,contradiction,A boy is playing in a room full of balls.,A boy is playing with a bike.,0
260,260,entailment,A woman wearing a black shirt walks among a crowd in a city.,There is a woman walking in the city.,1
261,261,entailment,Some children are playing in a slum.,A slum has children playing in it.,1
262,262,neutral,Woman in yellow costume smiling.,Woman in Halloween costume smiling.,2
263,263,neutral,Musicians playing to a crowd of people on the street.,The street is long.,2
264,264,neutral,"Next to a green field, young blond woman sitting outside on a gray trunk applying makeup to her face.",The woman is wearing Covergirl makeup.,2
265,265,entailment,A man floating in water reads a book.,A person is reading.,1
266,266,entailment,"An old man, wearing a black beret and a black and red jacket, rides a pony in a desolate mountain location.",An old man is riding a horse outside.,1
267,267,entailment,A brown dog is running in the sand.,A dark colored dog is sprinting across the ground.,1
268,268,contradiction,A boy in orange swim trunks stands on a diving board above a pool.,horse looks at bull,0
269,269,entailment,You have a photo of people ice skating in front of a brown building with the name Adobe at the top.,The people are skating.,1
270,270,entailment,Two children on a beach are playing in the sand as the tide comes in.,Children on a beach are playing in the sand.,1
271,271,neutral,A girl wearing a red and black striped shirt is sitting on a brick wall near a flower garden.,The flower garden has sunflowers in it.,2
272,272,entailment,Roller derby girl skating with others.,A girl is skating,1
273,273,neutral,A person stands alone at the top of the stairs.,The person is starting to walk down stairs.,2
274,274,entailment,A man surfing on a white surfboard wearing specialized clothing.,Surfing on a surfboard requires waterproof clothing worn by people,1
275,275,neutral,Spectators in sunglasses at an event.,People are watching a sporting event.,2
276,276,neutral,"A large group of people look as if they are in a band, and they are practicing classical music with guitars, violins, and cellos.",Most of the musicians are sitting down.,2
277,277,neutral,People with strollers walking on a bridge.,There are parents with strollers walking on a bridge.,2
278,278,entailment,A young woman getting her haircut.,A woman is cutting her hair,1
279,279,entailment,A man and woman kiss in a train window.,People kiss on a train.,1
280,280,entailment,Three men are standing with a dog on a rock overlooking a mountainous scene.,Three men and a dog are standing on a rock overlook.,1
281,281,neutral,A man on a bike throws up dirt during a motor cross event.,A biker is winning an event.,2
282,282,entailment,A woman is preparing a soup on a stove.,The stove is turned on.,1
283,283,neutral,Three people are standing in the snow preparing an ice fishing boat.,A couple fishermen are fixing an ice fishing boat and getting it ready.,2
284,284,contradiction,A man in a green shirt and tan cap leans against a railing in someone's kitchen.,A man wearing a red shirt is in someone's bedroom.,0
285,285,neutral,A mannequin behind a blue car.,The mannequin is a prop for a horror movie.,2
286,286,neutral,"A child dressed in blue is holding a blue bucket and handing a shovel to the other child, who is wearing a green jacket and yellow boots.",Two boys play in the sand together at the playground.,2
287,287,contradiction,Six women are sitting at a table together in front of a bookshelf.,Men are sitting at a table in front of a bookshelf.,0
288,288,entailment,There is three small children playing and some adults are sitting on the benches.,The adults are sitting down.,1
289,289,entailment,A man on a bicycle riding down the sidewalk and talking on the phone.,The bike has two wheels.,1
290,290,neutral,A white dog is ready to catch a yellow ball flying through the air.,A dog is playing catch with his owner.,2
291,291,neutral,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is standing on a cart full of groceries.,2
292,292,contradiction,Two young ladies review the pictures taken in their digital camera.,Two young ladies are running.,0
